Rk,Player,Team,Salary_2019_to_20,Salary_2020_to_21,Salary_2021_to_22,Salary_2022_to_23,Salary_2023_to_24,Salary_2024_to_25,Signed Using,Guaranteed,Salary_Per_Million
1,Stephen Curry,Golden State Warriors,40231758,43006362,45780966,,,,Bird Rights,129019086,40.231758
2,Chris Paul,Oklahoma City Thunder,38506482,41358814,44211146,,,,Bird Rights,79865296,38.506482
3,Russell Westbrook,Houston Rockets,38178000,41006000,43848000,46662000,,,Bird Rights,123032000,38.178
4,John Wall,Washington Wizards,37800000,40824000,43848000,46872000,,,Bird Rights,122472000,37.8
5,James Harden,Houston Rockets,37800000,40824000,43848000,46872000,,,Bird Rights,122472000,37.8
6,LeBron James,LA Lakers,37436858,39219565,41002273,,,,Cap Space,76656423,37.436858
7,Kevin Durant,Brooklyn Nets,37199000,39058950,40918900,42778850,,,Sign and Trade,117176850,37.199
8,Blake Griffin,Detroit Pistons,34234964,36595996,38957028,,,,Bird Rights,70830960,34.234964
9,Kyle Lowry,Toronto Raptors,33296296,30000000,,,,,Bird Rights,63296296,33.296296
10,Paul George,LA Clippers,33005556,35450412,37895268,,,,Maximum Salary,68455968,33.005556
11,Klay Thompson,Golden State Warriors,32742000,35361360,37980720,40600080,43219440,,Bird Rights,189903600,32.742
12,Jimmy Butler,Miami Heat,32742000,34379100,36016200,37653300,,,Sign and Trade,103137300,32.742
13,Kemba Walker,Boston Celtics,32742000,34379100,36016200,37653300,,,Sign and Trade,103137300,32.742
14,Kawhi Leonard,LA Clippers,32742000,34379100,36016200,,,,Cap Space,67121100,32.742
15,Gordon Hayward,Boston Celtics,32700690,34187085,,,,,Cap space,32700690,32.70069
16,Mike Conley,Utah Jazz,32511623,34504132,,,,,Cap Space,54938006,32.511623
17,Kyrie Irving,Brooklyn Nets,31742000,33329100,34916200,36503300,,,Cap space,136490600,31.742
18,Tobias Harris,Philadelphia 76ers,31034483,33517241,36000000,38482759,40965517,,Bird Rights,180000000,31.034483
19,Khris Middleton,Milwaukee Bucks,30603448,33051724,35500000,37948276,40396552,,Bird Rights,137103448,30.603448
20,Paul Millsap,Denver Nuggets,30500000,,,,,,Cap space,30500000,30.5
21,Damian Lillard,Portland Trailblazers,29802321,31626953,43750000,47250000,50750000,54250000,1st Round Pick,257429274,29.802321
22,Kevin Love,Cleveland Cavaliers,28900000,31300000,31300000,28900000,,,Bird Rights,120400000,28.9
23,Nikola Vučević,Orlando Magic,28000000,26000000,24000000,22000000,,,Bird Rights,100000000,28
